Ano;Modelo;Preco;vendas;ratio_HP_Peso;Gasolina;S_EI;S_HPP
2010;LOGAN 4P EXPRESSION HI-FLEX 1.0 16V;29830;13110;0.074146341;0;85.92186752;1.149497188
2010;LOGAN 4P EXPRESSION HI-TORQUE 1.6  8V;32570;11898;0.085185185;0;85.92186752;1.138458344
2010;MEGANE SEDAN FIII 4P DYNAMIQUE HI-FLEX 1.6 16V;57090;1525;0.085603113;0;85.9731462;1.138040416
2010;MEGANE SEDAN FIII 4P EXPRESSION HI-FLEX 1.6 16V;51790;1156;0.085603113;0;85.9731462;1.138040416
2010;SANDERO 5P AUTHENTIQUE HI-FLEX 1.0 16V;29930;12004;0.074146341;0;86.02926051;1.149497188
2010;SANDERO 5P EXPRESSION HI-FLEX 1.0 16V;33130;21967;0.074146341;0;86.02926051;1.149497188
2010;SANDERO 5P EXPRESSION HI-TORQUE 1.6  8V;35240;19109;0.087203791;0;86.02926051;1.136439738
2010;SANDERO 5P PRIVILEGE HI-FLEX 1.6  8V;41500;2411;0.101421801;0;86.02926051;1.122221728
2010;SANDERO 5P STEPWAY HI-FLEX 1.6 16V;41830;8232;0.095792301;0;86.02926051;1.127851228
2010;SYMBOL 4P EXPRESSION HI-FLEX 1.6  8V;39990;4211;0.105263158;0;86.99170054;1.118380371
2010;SYMBOL 4P PRIVILEGE HI-FLEX 1.6 16V;44490;2873;0.105263158;0;86.99170054;1.118380371
2010;NEW COROLLA 4P GLi FLEX 1.8;68280;16283;0.110569106;0;20.31744;0.329074719
2010;NEW COROLLA 4P SE-G/ALTIS S/D FLEX 1.8;84020;5172;0.107936508;0;20.31744;0.331707317
2010;NEW COROLLA 4P XEI S/D FLEX 1.8;69650;29299;0.110569106;0;20.31744;0.329074719
2010;NEW COROLLA 4P XLI S/D FLEX 1.8;63320;5347;0.110569106;0;20.31744;0.329074719
2010;CROSSFOX G2 4P TOTAL FLEX 1.6;45550;15375;0.10266535;0;134.3217478;2.044147367
2010;FOX G2 2P TOTAL FLEX 1.0;29490;5833;0.075322101;0;134.9150736;2.071490616
2010;FOX G2 4P PRIME TOTAL FLEX 1.6;36530;22010;0.099426386;0;134.9150736;2.047386331
2010;FOX G2 4P TOTAL FLEX 1.0;31300;63218;0.075322101;0;134.9150736;2.071490616
2010;FOX G2 4P TOTAL FLEX 1.6;35550;15090;0.099426386;0;134.9150736;2.047386331
2010;GOL G4 2P CITY TOTAL FLEX 1.0  8V;24880;22569;0.079439252;0;135.3950283;2.067373465
2010;GOL G4 4P CITY TOTAL FLEX 1.0  8V;26480;37905;0.075977654;0;135.3950283;2.070835064
2010;GOL G5 4P BASE TOTAL FLEX 1.0;27890;185986;0.077087794;0;135.2335688;2.069724923
2010;GOL G5 4P BASE TOTAL FLEX 1.6;31790;15382;0.106991525;0;135.1805023;2.039821192
2010;GOL G5 4P POWER TOTAL FLEX 1.6;35840;26113;0.103271984;0;135.1805023;2.043540734
2010;GOLF G6 4P BASE TOTAL FLEX 1.6;47710;1423;0.083264633;0;134.8602739;2.063548084
2010;GOLF G6 4P SPORTLINE TOTAL FLEX 1.6;52260;15965;0.088661552;0;134.798953;2.058151166
2010;NOVO BORA 4P BASE TOTAL FLEX 2.0;53990;1621;0.097640358;0;134.8394253;2.049172359
2010;NOVO VOYAGE 4P BASE TOTAL FLEX 1.0;29590;50838;0.078350515;0;135.1805023;2.068462202
2010;NOVO VOYAGE 4P BASE TOTAL FLEX 1.6;34250;8238;0.105156724;0;135.1805023;2.041655993
2010;NOVO VOYAGE 4P COMFORTLINE TOTAL FLEX 1.6;38380;13973;0.101860921;0;135.1805023;2.044951797
2010;NOVO VOYAGE 4P TREND TOTAL FLEX 1.6;36750;6694;0.10483871;0;135.1805023;2.041974008
2010;PARATI G4 4P PLUS TOTAL FLEX 1.6;37520;4374;0.095004897;0;135.2190846;2.05180782
2010;PARATI G4 4P SURF TOTAL FLEX 1.6;44750;2253;0.093269231;0;135.2190846;2.053543486
2010;POLO HATCH G2 4P BASE TOTAL FLEX 1.6;40130;23354;0.096118299;0;135.1330529;2.050694418
2010;POLO HATCH G2 4P SPORTLINE TOTAL FLEX 1.6 (+ comfort.)***;48020;6506;0.096118299;0;135.1330529;2.050694418
2010;JETTA 4P BASE 2.5 170cv;78890;2882;0.118798043;1;134.4655255;2.028014674
2010;NEW BEETLE 2P MAN 2.0;56790;1360;0.0928;1;134.6882614;2.054012717
